"X_Value","Dev1.ai3","Dev1.ai0"
229.26,7.58216464904747,-29.7496043598292
229.262,11.3732469735712,-35.3281557978576
229.264,7.58216464904747,-35.3281557978576
229.266,5.6866234867856,-35.3281557978576
229.268,9.47770581130933,-35.3281557978576
229.27,5.6866234867856,-37.1871874936266
229.272,5.6866234867856,-35.3281557978576
229.274,7.58216464904747,-37.1871874936266
229.276,1.89554116226187,-35.3281557978576
229.278,1.89554116226187,-40.9059790605254
229.28,5.6866234867856,-39.0469473647563
229.282,7.58216464904747,-35.3281557978576
229.284,7.58216464904747,-31.6093642309589
229.286,3.79108232452373,-35.3281557978576
229.288,3.79108232452373,-31.6093642309589
229.29,-3.79108232452373,-29.7496043598292
229.292,-9.47844828728359,-35.3281557978576
229.294,-9.47844828728359,-39.0469473647563
229.296,-7.58290712502172,-40.9059790605254
229.298,-9.47844828728359,-42.7657389316551
229.3,-11.3739894495455,-40.9059790605254
229.302,-11.3739894495455,-40.9059790605254
229.304,-11.3739894495455,-39.0469473647563
229.306,-7.58290712502172,-39.0469473647563
229.308,-7.58290712502172,-39.0469473647563
229.31,-7.58290712502172,-39.0469473647563
229.312,-5.68736596275985,-35.3281557978576
229.314,-9.47844828728359,-35.3281557978576
229.316,-9.47844828728359,-37.1871874936266
229.318,-11.3739894495455,-37.1871874936266
229.32,-9.47844828728359,-37.1871874936266
229.322,-5.68736596275985,-37.1871874936266
229.324,-9.47844828728359,-42.7657389316551
229.326,-3.79108232452373,-40.9059790605254
229.328,-3.79108232452373,-40.9059790605254
229.33,-3.79108232452373,-35.3281557978576
229.332,0,-35.3281557978576
229.334,3.79108232452373,-29.7496043598292
229.336,1.89554116226187,-31.6093642309589
229.338,1.89554116226187,-35.3281557978576
229.34,0,-33.4683959267279
229.342,1.89554116226187,-39.0469473647563
229.344,7.58216464904747,-39.0469473647563
229.346,11.3732469735712,-37.1871874936266
229.348,11.3732469735712,-37.1871874936266
229.35,13.2687881358331,-35.3281557978576
229.352,18.9554116226187,-33.4683959267279
229.354,22.7472364231167,-35.3281557978576
229.356,24.6427775853785,-31.6093642309589
229.358,22.7472364231167,-35.3281557978576
229.36,20.8516952608548,-33.4683959267279
229.362,22.7472364231167,-37.1871874936266
229.364,22.7472364231167,-37.1871874936266
229.366,18.9554116226187,-39.0469473647563
229.368,18.9554116226187,-39.0469473647563
229.37,18.9554116226187,-44.6247706274241
229.372,22.7472364231167,-42.7657389316551
229.374,22.7472364231167,-42.7657389316551
229.376,20.8516952608548,-42.7657389316551
229.378,20.8516952608548,-39.0469473647563
229.38,26.5383187476404,-44.6247706274241
229.382,26.5383187476404,-39.0469473647563
229.384,24.6427775853785,-42.7657389316551
229.386,24.6427775853785,-40.9059790605254
229.388,24.6427775853785,-39.0469473647563
229.39,18.9554116226187,-40.9059790605254
229.392,18.9554116226187,-42.7657389316551
229.394,18.9554116226187,-44.6247706274241
229.396,22.7472364231167,-42.7657389316551
229.398,26.5383187476404,-42.7657389316551
229.4,24.6427775853785,-33.4683959267279
229.402,20.8516952608548,-35.3281557978576
229.404,20.8516952608548,-35.3281557978576
229.406,18.9554116226187,-35.3281557978576
229.408,13.2687881358331,-40.9059790605254
229.41,13.2687881358331,-44.6247706274241
229.412,17.0598704603568,-44.6247706274241
229.414,17.0598704603568,-44.6247706274241
229.416,13.2687881358331,-46.4845304985538
229.418,11.3732469735712,-40.9059790605254
229.42,17.0598704603568,-40.9059790605254
229.422,15.1643292980949,-37.1871874936266
229.424,9.47770581130933,-37.1871874936266
229.426,13.2687881358331,-39.0469473647563
229.428,7.58216464904747,-39.0469473647563
229.43,5.6866234867856,-42.7657389316551
229.432,0,-42.7657389316551
229.434,-1.89554116226187,-48.3435621943228
229.436,3.79108232452373,-44.6247706274241
229.438,-1.89554116226187,-50.2033220654525
229.44,-3.79108232452373,-50.2033220654525
229.442,-1.89554116226187,-46.4845304985538
229.444,3.79108232452373,-48.3435621943228
229.446,3.79108232452373,-46.4845304985538
229.448,3.79108232452373,-42.7657389316551
229.45,7.58216464904747,-40.9059790605254
229.452,7.58216464904747,-39.0469473647563
229.454,1.89554116226187,-39.0469473647563
229.456,5.6866234867856,-33.4683959267279
229.458,-3.79108232452373,-37.1871874936266
229.46,-3.79108232452373,-37.1871874936266
229.462,-3.79108232452373,-42.7657389316551
229.464,0,-40.9059790605254
229.466,1.89554116226187,-42.7657389316551
229.468,5.6866234867856,-37.1871874936266
229.47,5.6866234867856,-33.4683959267279
229.472,0,-33.4683959267279
229.474,-1.89554116226187,-33.4683959267279
229.476,-1.89554116226187,-37.1871874936266
229.478,3.79108232452373,-37.1871874936266
229.48,1.89554116226187,-40.9059790605254
229.482,9.47770581130933,-40.9059790605254
229.484,3.79108232452373,-37.1871874936266
229.486,5.6866234867856,-31.6093642309589
229.488,11.3732469735712,-37.1871874936266
229.49,1.89554116226187,-39.0469473647563
229.492,3.79108232452373,-39.0469473647563
229.494,3.79108232452373,-39.0469473647563
229.496,9.47770581130933,-37.1871874936266
229.498,15.1643292980949,-42.7657389316551
229.5,11.3732469735712,-37.1871874936266
229.502,13.2687881358331,-37.1871874936266
229.504,13.2687881358331,-37.1871874936266
229.506,7.58216464904747,-35.3281557978576
229.508,15.1643292980949,-35.3281557978576
229.51,13.2687881358331,-35.3281557978576
229.512,9.47770581130933,-31.6093642309589
229.514,11.3732469735712,-31.6093642309589
229.516,9.47770581130933,-35.3281557978576
229.518,9.47770581130933,-35.3281557978576
229.52,5.6866234867856,-37.1871874936266
229.522,5.6866234867856,-40.9059790605254
229.524,11.3732469735712,-40.9059790605254
229.526,11.3732469735712,-42.7657389316551
229.528,11.3732469735712,-40.9059790605254
229.53,11.3732469735712,-40.9059790605254
229.532,13.2687881358331,-35.3281557978576
229.534,15.1643292980949,-35.3281557978576
229.536,15.1643292980949,-37.1871874936266
229.538,15.1643292980949,-31.6093642309589
229.54,11.3732469735712,-29.7496043598292
229.542,9.47770581130933,-31.6093642309589
229.544,11.3732469735712,-37.1871874936266
229.546,3.79108232452373,-42.7657389316551
229.548,9.47770581130933,-42.7657389316551
229.55,9.47770581130933,-42.7657389316551
229.552,7.58216464904747,-42.7657389316551
229.554,7.58216464904747,-37.1871874936266
229.556,11.3732469735712,-37.1871874936266
229.558,11.3732469735712,-31.6093642309589
229.56,7.58216464904747,-33.4683959267279
229.562,5.6866234867856,-27.8905726640601
229.564,0,-27.8905726640601
229.566,-1.89554116226187,-29.7496043598292
229.568,-3.79108232452373,-33.4683959267279
229.57,1.89554116226187,-33.4683959267279
229.572,1.89554116226187,-27.8905726640601
229.574,3.79108232452373,-29.7496043598292
229.576,3.79108232452373,-29.7496043598292
229.578,5.6866234867856,-27.8905726640601
229.58,0,-31.6093642309589
229.582,-1.89554116226187,-31.6093642309589
229.584,0,-29.7496043598292
229.586,0,-31.6093642309589
229.588,-5.68736596275985,-31.6093642309589
229.59,-7.58290712502172,-33.4683959267279
229.592,-1.89554116226187,-31.6093642309589
229.594,-1.89554116226187,-29.7496043598292
229.596,-3.79108232452373,-27.8905726640601
229.598,0,-29.7496043598292
229.6,0,-29.7496043598292
229.602,0,-24.1717810971614
229.604,-3.79108232452373,-26.0308127929304
229.606,-7.58290712502172,-26.0308127929304
229.608,-3.79108232452373,-29.7496043598292
229.61,-7.58290712502172,-29.7496043598292
229.612,-9.47844828728359,-35.3281557978576
229.614,-5.68736596275985,-35.3281557978576
229.616,-9.47844828728359,-35.3281557978576
229.618,-3.79108232452373,-29.7496043598292
229.62,-1.89554116226187,-29.7496043598292
229.622,-5.68736596275985,-27.8905726640601
229.624,-3.79108232452373,-27.8905726640601
229.626,-3.79108232452373,-29.7496043598292
229.628,-3.79108232452373,-29.7496043598292
229.63,-3.79108232452373,-31.6093642309589
229.632,-7.58290712502172,-29.7496043598292
229.634,-7.58290712502172,-33.4683959267279
229.636,-1.89554116226187,-27.8905726640601
229.638,-5.68736596275985,-33.4683959267279
229.64,0,-27.8905726640601
229.642,1.89554116226187,-27.8905726640601
229.644,0,-31.6093642309589
229.646,1.89554116226187,-27.8905726640601
229.648,1.89554116226187,-27.8905726640601
229.65,0,-37.1871874936266
229.652,1.89554116226187,-31.6093642309589
229.654,0,-29.7496043598292
229.656,1.89554116226187,-29.7496043598292
229.658,-3.79108232452373,-26.0308127929304
229.66,1.89554116226187,-24.1717810971614
229.662,-1.89554116226187,-26.0308127929304
229.664,-3.79108232452373,-29.7496043598292
229.666,-7.58290712502172,-29.7496043598292
229.668,-7.58290712502172,-31.6093642309589
229.67,-5.68736596275985,-35.3281557978576
229.672,-5.68736596275985,-37.1871874936266
229.674,0,-37.1871874936266
229.676,0,-37.1871874936266
229.678,1.89554116226187,-31.6093642309589
229.68,5.6866234867856,-31.6093642309589
229.682,7.58216464904747,-31.6093642309589
229.684,5.6866234867856,-26.0308127929304
229.686,3.79108232452373,-24.1717810971614
229.688,3.79108232452373,-27.8905726640601
229.69,0,-26.0308127929304
229.692,3.79108232452373,-29.7496043598292
229.694,9.47770581130933,-29.7496043598292
229.696,11.3732469735712,-29.7496043598292
229.698,22.7472364231167,-29.7496043598292
229.7,26.5383187476404,-31.6093642309589
229.702,32.224942234426,-29.7496043598292
229.704,39.8071068834735,-29.7496043598292
229.706,47.3900140084952,-27.8905726640601
229.708,51.1810963330189,-27.8905726640601
229.71,58.7632609820664,-26.0308127929304
229.712,68.2409667933757,-27.8905726640601
229.714,72.0327915938737,-20.4529895302627
229.716,85.3015797297068,-18.5939578344936
229.718,90.9882032164924,-24.1717810971614
229.72,98.5711103415141,-16.7341979633639
229.722,106.153274990562,-18.5939578344936
229.724,109.944357315085,-14.8751662675949
229.726,113.735439639609,-13.0154063964652
229.728,117.526521964133,-13.0154063964652
229.73,123.213887926893,-14.8751662675949
229.732,125.109429089154,-18.5939578344936
229.734,132.691593738202,-18.5939578344936
229.736,130.79605257594,-16.7341979633639
229.738,134.587134900464,-20.4529895302627
229.74,142.169299549511,-20.4529895302627
229.742,144.064840711773,-14.8751662675949
229.744,151.647747836795,-13.0154063964652
229.746,155.438830161319,-7.43758313379746
229.748,151.647747836795,-5.57782326266776
229.75,153.543288999057,-9.29661482956649
229.752,153.543288999057,-11.1563747006962
229.754,153.543288999057,-11.1563747006962
229.756,157.33437132358,-14.8751662675949
229.758,163.020994810366,-16.7341979633639
229.76,163.020994810366,-11.1563747006962
229.762,170.603901935388,-13.0154063964652
229.764,170.603901935388,-9.29661482956649
229.766,168.707618297152,-13.0154063964652
229.768,174.394984259912,-11.1563747006962
229.77,170.603901935388,-11.1563747006962
229.772,164.916535972628,-13.0154063964652
229.774,164.916535972628,-13.0154063964652
229.776,164.916535972628,-14.8751662675949
229.778,166.81207713489,-14.8751662675949
229.78,168.707618297152,-7.43758313379746
229.782,172.49944309765,-9.29661482956649
229.784,174.394984259912,-5.57782326266776
229.786,172.49944309765,-3.71879156689873
229.788,174.394984259912,-1.85903169576903
229.79,170.603901935388,0
229.792,170.603901935388,0
229.794,170.603901935388,0
229.796,170.603901935388,-1.85903169576903
229.798,166.81207713489,1.8597598711297
229.8,172.49944309765,0
229.802,168.707618297152,0
229.804,168.707618297152,-5.57782326266776
229.806,174.394984259912,-5.57782326266776
229.808,174.394984259912,-1.85903169576903
229.81,178.186066584435,-1.85903169576903
229.812,180.081607746697,1.8597598711297
229.814,174.394984259912,1.8597598711297
229.816,174.394984259912,1.8597598711297
229.818,174.394984259912,-1.85903169576903
229.82,174.394984259912,-1.85903169576903
229.822,170.603901935388,-1.85903169576903
229.824,170.603901935388,-7.43758313379746
229.826,174.394984259912,-1.85903169576903
229.828,170.603901935388,-9.29661482956649
229.83,172.49944309765,-7.43758313379746
229.832,172.49944309765,-7.43758313379746
229.834,170.603901935388,-9.29661482956649
229.836,172.49944309765,-5.57782326266776
229.838,176.290525422173,-11.1563747006962
229.84,170.603901935388,-5.57782326266776
229.842,170.603901935388,-7.43758313379746
229.844,174.394984259912,-9.29661482956649
229.846,178.186066584435,-13.0154063964652
229.848,174.394984259912,-9.29661482956649
229.85,178.186066584435,-11.1563747006962
229.852,180.081607746697,-11.1563747006962
229.854,180.081607746697,-11.1563747006962
229.856,180.081607746697,-7.43758313379746
229.858,178.186066584435,-7.43758313379746
229.86,174.394984259912,-11.1563747006962
229.862,178.186066584435,-7.43758313379746
229.864,176.290525422173,-7.43758313379746
229.866,176.290525422173,-7.43758313379746
229.868,176.290525422173,-7.43758313379746
229.87,174.394984259912,-5.57782326266776
229.872,174.394984259912,-9.29661482956649
229.874,174.394984259912,-7.43758313379746
229.876,174.394984259912,-5.57782326266776
229.878,172.49944309765,-7.43758313379746
229.88,174.394984259912,-7.43758313379746
229.882,174.394984259912,-13.0154063964652
229.884,166.81207713489,-7.43758313379746
229.886,170.603901935388,-13.0154063964652
229.888,166.81207713489,-13.0154063964652
229.89,170.603901935388,-14.8751662675949
229.892,164.916535972628,-13.0154063964652
229.894,168.707618297152,-14.8751662675949
229.896,164.916535972628,-14.8751662675949
229.898,170.603901935388,-14.8751662675949
229.9,164.916535972628,-14.8751662675949
229.902,164.916535972628,-20.4529895302627
229.904,170.603901935388,-20.4529895302627
229.906,164.916535972628,-18.5939578344936
229.908,170.603901935388,-20.4529895302627
229.91,166.81207713489,-20.4529895302627
229.912,178.186066584435,-20.4529895302627
229.914,174.394984259912,-16.7341979633639
229.916,176.290525422173,-14.8751662675949
229.918,176.290525422173,-16.7341979633639
229.92,178.186066584435,-13.0154063964652
229.922,174.394984259912,-14.8751662675949
229.924,178.186066584435,-13.0154063964652
229.926,180.081607746697,-13.0154063964652
229.928,174.394984259912,-13.0154063964652
229.93,174.394984259912,-11.1563747006962
229.932,178.186066584435,-11.1563747006962
229.934,172.49944309765,-13.0154063964652
229.936,172.49944309765,-14.8751662675949
229.938,172.49944309765,-14.8751662675949
229.94,166.81207713489,-13.0154063964652
229.942,168.707618297152,-16.7341979633639
229.944,168.707618297152,-14.8751662675949
229.946,168.707618297152,-16.7341979633639
