"X_Value","Dev1.ai3","Dev1.ai0"
102.6,20.8516952608548,-3.71879156689873
102.602,20.8516952608548,-5.57782326266776
102.604,20.8516952608548,-3.71879156689873
102.606,20.8516952608548,-3.71879156689873
102.608,22.7472364231167,0
102.61,22.7472364231167,-3.71879156689873
102.612,17.0606129363311,-1.85903169576903
102.614,20.8516952608548,-5.57782326266776
102.616,20.8516952608548,-1.85903169576903
102.618,26.5390612236146,-1.85903169576903
102.62,18.9561540985929,0
102.622,17.0606129363311,-1.85903169576903
102.624,20.8516952608548,0
102.626,24.6427775853785,0
102.628,22.7472364231167,5.57855143802842
102.63,15.1650717740692,1.8597598711297
102.632,17.0606129363311,-5.57782326266776
102.634,18.9561540985929,-5.57782326266776
102.636,24.6427775853785,-1.85903169576903
102.638,20.8516952608548,-1.85903169576903
102.64,20.8516952608548,-3.71879156689873
102.642,17.0606129363311,-3.71879156689873
102.644,20.8516952608548,-9.29661482956649
102.646,20.8516952608548,-7.43758313379746
102.648,26.5390612236146,-3.71879156689873
102.65,26.5390612236146,-5.57782326266776
102.652,22.7472364231167,0
102.654,22.7472364231167,-3.71879156689873
102.656,22.7472364231167,-3.71879156689873
102.658,22.7472364231167,-1.85903169576903
102.66,30.3301435481384,-1.85903169576903
102.662,24.6427775853785,3.71879156689873
102.664,26.5390612236146,0
102.666,20.8516952608548,-1.85903169576903
102.668,20.8516952608548,-3.71879156689873
102.67,30.3301435481384,-5.57782326266776
102.672,30.3301435481384,0
102.674,26.5390612236146,0
102.676,24.6427775853785,1.8597598711297
102.678,24.6427775853785,-3.71879156689873
102.68,28.4346023858765,-7.43758313379746
102.682,30.3301435481384,-7.43758313379746
102.684,32.2256847104002,-3.71879156689873
102.686,28.4346023858765,0
102.688,30.3301435481384,-3.71879156689873
102.69,24.6427775853785,-3.71879156689873
102.692,22.7472364231167,-7.43758313379746
102.694,30.3301435481384,-9.29661482956649
102.696,28.4346023858765,-3.71879156689873
102.698,34.1212258726621,-5.57782326266776
102.7,34.1212258726621,-1.85903169576903
102.702,30.3301435481384,-3.71879156689873
102.704,28.4346023858765,-7.43758313379746
102.706,32.2256847104002,-7.43758313379746
