"X_Value","Dev1.ai3","Dev1.ai0"
280.64,152.173031706076,-42.4337729499522
280.642,155.445473542576,-40.5891718544095
280.644,147.264368951326,-46.1236976639895
280.646,152.173031706076,-38.743848235915
280.648,150.536810787826,-42.4337729499522
280.65,148.900589869576,-44.2790965684467
280.652,155.445473542576,-38.743848235915
280.654,152.173031706076,-46.1236976639895
280.656,147.264368951326,-46.1236976639895
280.658,150.536810787826,-38.743848235915
280.66,152.173031706076,-42.4337729499522
280.662,145.627507131816,-46.1236976639895
280.664,157.081694460826,-36.8992471403722
280.666,152.173031706076,-46.1236976639895
280.668,152.173031706076,-44.2790965684467
280.67,157.081694460826,-40.5891718544095
280.672,148.900589869576,-44.2790965684467
280.674,152.173031706076,-33.209322426335
280.676,153.809252624326,-35.0539235218778
280.678,152.173031706076,-42.4337729499522
280.68,152.173031706076,-36.8992471403722
280.682,157.081694460826,-36.8992471403722
280.684,147.264368951326,-40.5891718544095
280.686,152.173031706076,-29.5193977122978
280.688,150.536810787826,-29.5193977122978
280.69,148.900589869576,-33.209322426335
280.692,155.445473542576,-29.5193977122978
280.694,153.809252624326,-38.743848235915
280.696,153.809252624326,-33.209322426335
280.698,158.717915379076,-27.6740740938034
280.7,155.445473542576,-38.743848235915
280.702,157.081694460826,-33.209322426335
280.704,160.354136297326,-29.5193977122978
280.706,152.173031706076,-36.8992471403722
280.708,155.445473542576,-33.209322426335
280.71,160.354136297326,-33.209322426335
280.712,157.081694460826,-38.743848235915
280.714,157.081694460826,-33.209322426335
280.716,158.717915379076,-29.5193977122978
280.718,157.081694460826,-40.5891718544095
280.72,157.081694460826,-36.8992471403722
280.722,161.990357215577,-36.8992471403722
280.724,153.809252624326,-40.5891718544095
280.726,157.081694460826,-38.743848235915
280.728,161.990357215577,-38.743848235915
280.73,153.809252624326,-42.4337729499522
280.732,160.354136297326,-36.8992471403722
280.734,163.626578133827,-38.743848235915
280.736,155.445473542576,-42.4337729499522
280.738,158.717915379076,-31.3639988078406
