"time.sec.","HEOG"
0.658,0.054973
0.66,0.062632
0.662,0.057526
0.664,0.054973
0.666,0.05242
0.668,0.065185
0.67,0.062632
0.672,0.05242
0.674,0.054973
0.676,0.060079
0.678,0.05242
0.68,0.05242
0.682,0.049867
0.684,0.047314
0.686,0.047314
0.688,0.047314
0.69,0.047314
0.692,0.047314
0.694,0.042207
0.696,0.049867
0.698,0.054973
0.7,0.049867
0.702,0.044761
0.704,0.05242
0.706,0.060079
0.708,0.05242
0.71,0.047314
0.712,0.054973
0.714,0.060079
0.716,0.05242
0.718,0.047314
0.72,0.049867
0.722,0.057526
0.724,0.047314
0.726,0.039654
0.728,0.044761
0.73,0.049867
0.732,0.044761
0.734,0.039654
0.736,0.047314
0.738,0.05242
0.74,0.047314
0.742,0.042207
0.744,0.049867
0.746,0.054973
0.748,0.044761
0.75,0.049867
0.752,0.054973
0.754,0.042207
0.756,0.047314
0.758,0.047314
0.76,0.039654
0.762,0.047314
0.764,0.044761
0.766,0.037101
0.768,0.042207
0.77,0.042207
0.772,0.037101
0.774,0.042207
0.776,0.042207
0.778,0.039654
0.78,0.05242
0.782,0.047314
0.784,0.042207
0.786,0.044761
0.788,0.047314
0.79,0.044761
0.792,0.044761
0.794,0.044761
0.796,0.047314
0.798,0.039654
0.8,0.044761
0.802,0.047314
0.804,0.044761
0.806,0.044761
0.808,0.042207
0.81,0.054973
0.812,0.054973
0.814,0.042207
0.816,0.042207
0.818,0.054973
0.82,0.05242
0.822,0.039654
0.824,0.047314
0.826,0.05242
0.828,0.047314
0.83,0.039654
0.832,0.044761
0.834,0.044761
0.836,0.037101
0.838,0.044761
0.84,0.042207
0.842,0.042207
0.844,0.031995
0.846,0.039654
0.848,0.047314
0.85,0.039654
0.852,0.037101
0.854,0.042207
0.856,0.047314
0.858,0.042207
0.86,0.037101
0.862,0.042207
0.864,0.049867
0.866,0.042207
0.868,0.034548
0.87,0.042207
0.872,0.049867
0.874,0.042207
0.876,0.037101
0.878,0.049867
0.88,0.049867
0.882,0.037101
0.884,0.047314
0.886,0.039654
0.888,0.034548
0.89,0.042207
0.892,0.042207
0.894,0.039654
0.896,0.039654
0.898,0.044761
0.9,0.031995
0.902,0.039654
0.904,0.039654
0.906,0.037101
0.908,0.037101
0.91,0.044761
0.912,0.039654
0.914,0.042207
0.916,0.047314
0.918,0.037101
0.92,0.037101
0.922,0.049867
0.924,0.044761
0.926,0.042207
0.928,0.049867
0.93,0.042207
0.932,0.037101
0.934,0.047314
0.936,0.044761
0.938,0.042207
0.94,0.047314
0.942,0.042207
0.944,0.037101
0.946,0.049867
0.948,0.047314
0.95,0.034548
0.952,0.039654
0.954,0.044761
0.956,0.034548
0.958,0.029442
0.96,0.042207
0.962,0.031995
0.964,0.026889
0.966,0.037101
0.968,0.031995
0.97,0.029442
0.972,0.039654
0.974,0.031995
0.976,0.029442
0.978,0.034548
0.98,0.042207
0.982,0.034548
0.984,0.031995
0.986,0.031995
0.988,0.031995
0.99,0.031995
0.992,0.031995
0.994,0.037101
0.996,0.024336
0.998,0.024336
1,0.037101
1.002,0.029442
1.004,0.024336
1.006,0.029442
1.008,0.037101
1.01,0.031995
1.012,0.031995
1.014,0.039654
1.016,0.031995
1.018,0.026889
1.02,0.039654
1.022,0.031995
1.024,0.031995
1.026,0.034548
1.028,0.029442
1.03,0.021783
1.032,0.026889
1.034,0.031995
1.036,0.01923
1.038,0.026889
1.04,0.031995
1.042,0.01923
1.044,0.026889
1.046,0.031995
1.048,0.01923
1.05,0.026889
1.052,0.024336
1.054,0.01923
1.056,0.024336
1.058,0.021783
1.06,0.014124
1.062,0.01923
1.064,0.026889
1.066,0.016677
1.068,0.011571
1.07,0.016677
1.072,0.026889
1.074,0.029442
1.076,0.021783
1.078,0.024336
1.08,0.031995
1.082,0.021783
1.084,0.026889
1.086,0.031995
1.088,0.021783
1.09,0.021783
1.092,0.034548
1.094,0.029442
1.096,0.029442
1.098,0.034548
1.1,0.037101
1.102,0.021783
1.104,0.034548
1.106,0.026889
1.108,0.01923
1.11,0.026889
1.112,0.031995
1.114,0.014124
1.116,0.011571
1.118,0.01923
1.12,0.01923
1.122,0.011571
1.124,0.016677
1.126,0.016677
1.128,0.011571
1.13,0.014124
1.132,0.014124
1.134,0.011571
1.136,0.006464
1.138,0.003911
1.14,0.009017
1.142,0.014124
1.144,0.009017
1.146,0.003911
1.148,0.006464
1.15,0.01923
1.152,0.016677
1.154,0.006464
1.156,0.014124
1.158,0.021783
1.16,0.011571
1.162,0.016677
1.164,0.014124
1.166,0.014124
1.168,0.014124
1.17,0.016677
1.172,0.021783
1.174,0.014124
1.176,0.016677
1.178,0.014124
1.18,0.016677
1.182,0.014124
1.184,0.009017
1.186,0.009017
1.188,0.021783
1.19,0.016677
1.192,0.011571
1.194,0.016677
1.196,0.026889
1.198,0.024336
1.2,0.029442
1.202,0.016677
1.204,0.021783
1.206,0.029442
1.208,0.026889
1.21,0.014124
1.212,0.021783
1.214,0.026889
1.216,0.011571
1.218,0.016677
1.22,0.021783
1.222,0.011571
1.224,0.011571
1.226,0.024336
1.228,0.01923
1.23,0.016677
1.232,0.01923
1.234,0.024336
1.236,0.011571
1.238,0.016677
1.24,0.021783
1.242,0.014124
1.244,0.009017
1.246,0.014124
1.248,0.021783
1.25,0.01923
1.252,0.016677
1.254,0.021783
1.256,0.016677
1.258,0.01923
1.26,0.016677
1.262,0.016677
1.264,0.011571
1.266,0.021783
1.268,0.016677
1.27,0.006464
1.272,0.014124
1.274,0.01923
1.276,0.006464
1.278,0.011571
1.28,0.014124
1.282,0.011571
1.284,0.003911
1.286,0.014124
1.288,0.011571
1.29,0.006464
1.292,0.006464
1.294,0.01923
1.296,0.016677
1.298,0.009017
1.3,0.016677
1.302,0.024336
1.304,0.011571
1.306,0.011571
1.308,0.01923
1.31,0.016677
1.312,0.016677
1.314,0.016677
1.316,0.021783
1.318,0.021783
1.32,0.011571
1.322,0.009017
1.324,0.021783
1.326,0.016677
1.328,0.016677
1.33,0.016677
1.332,0.024336
1.334,0.016677
1.336,0.01923
1.338,0.016677
1.34,0.016677
1.342,0.014124
1.344,0.016677
1.346,0.021783
1.348,0.011571
1.35,0.011571
1.352,0.021783
1.354,0.01923
1.356,0.009017
1.358,0.011571
1.36,0.01923
1.362,0.011571
1.364,0.003911
1.366,0.006464
1.368,0.011571
1.37,0.001358
1.372,-0.001195
1.374,0.009017
1.376,0.003911
1.378,-0.001195
1.38,0.001358
1.382,0.001358
1.384,0.001358
1.386,-0.006301
1.388,0.001358
1.39,0.003911
1.392,-0.003748
1.394,-0.008854
1.396,0.006464
1.398,-0.003748
1.4,-0.001195
1.402,-0.001195
1.404,0.001358
1.406,0.001358
1.408,0.003911
1.41,0.011571
1.412,0.001358
1.414,0.001358
1.416,0.011571
1.418,0.009017
1.42,0.003911
1.422,-0.003748
1.424,-0.003748
1.426,0.006464
1.428,0.001358
1.43,-0.003748
1.432,0.001358
1.434,0.009017
1.436,0.009017
1.438,-0.003748
1.44,-0.003748
1.442,0.006464
1.444,0.006464
1.446,-0.008854
1.448,-0.008854
1.45,0.003911
1.452,-0.003748
1.454,-0.008854
1.456,-0.008854
1.458,0.003911
1.46,0.003911
1.462,-0.001195
1.464,-0.001195
1.466,0.001358
1.468,-0.001195
1.47,-0.006301
1.472,0.001358
1.474,0.003911
1.476,-0.006301
1.478,-0.008854
1.48,0.001358
1.482,-0.003748
1.484,-0.011407
1.486,0.001358
1.488,-0.006301
1.49,-0.008854
1.492,-0.008854
1.494,-0.006301
1.496,-0.006301
1.498,-0.006301
1.5,-0.008854
