"time","HEOG"
0.654,0.091911
0.656,0.0957405
0.658,0.1148895
0.66,0.1072305
0.662,0.11106
0.664,0.118719
0.666,0.1033995
0.668,0.1033995
0.67,0.118719
0.672,0.1072305
0.674,0.1072305
0.676,0.1033995
0.678,0.09957
0.68,0.0880815
0.682,0.09957
0.684,0.1033995
0.686,0.0880815
0.688,0.1033995
0.69,0.1072305
0.692,0.09957
0.694,0.091911
0.696,0.11106
0.698,0.1033995
0.7,0.0957405
0.702,0.0957405
0.704,0.0957405
0.706,0.0880815
0.708,0.0957405
0.71,0.1072305
0.712,0.0957405
0.714,0.0880815
0.716,0.09957
0.718,0.1033995
0.72,0.0957405
0.722,0.0957405
0.724,0.1033995
0.726,0.0957405
0.728,0.0880815
0.73,0.09957
0.732,0.1033995
0.734,0.1033995
0.736,0.1033995
0.738,0.11106
0.74,0.1033995
0.742,0.0957405
0.744,0.1033995
0.746,0.1148895
0.748,0.0957405
0.75,0.091911
0.752,0.1033995
0.754,0.1033995
0.756,0.09957
0.758,0.09957
0.76,0.09957
0.762,0.0957405
0.764,0.084252
0.766,0.0804225
0.768,0.0957405
0.77,0.0880815
0.772,0.0804225
0.774,0.0880815
0.776,0.0957405
0.778,0.084252
0.78,0.0880815
0.782,0.1072305
0.784,0.09957
0.786,0.09957
0.788,0.1033995
0.79,0.09957
0.792,0.091911
0.794,0.11106
0.796,0.09957
0.798,0.1033995
0.8,0.09957
0.802,0.11106
0.804,0.09957
0.806,0.0880815
0.808,0.11106
0.81,0.1072305
0.812,0.0880815
0.814,0.0880815
0.816,0.11106
0.818,0.0957405
0.82,0.0880815
0.822,0.0957405
0.824,0.09957
0.826,0.0880815
0.828,0.0880815
0.83,0.0804225
0.832,0.0727635
0.834,0.068934
0.836,0.076593
0.838,0.084252
0.84,0.0651045
0.842,0.0804225
0.844,0.0880815
0.846,0.084252
0.848,0.076593
0.85,0.0880815
0.852,0.1033995
0.854,0.091911
0.856,0.0957405
0.858,0.11106
