"slope","intercept","x","y"
0.00125186743955732,0,-100,-0.1
0.00125186743955732,0,100,0.1
0.00147325230719763,0,-100,-0.1
0.00147325230719763,0,100,0.1
0.00155248089484751,0,-100,-0.1
0.00155248089484751,0,100,0.1
0.00133054577952244,0,-100,-0.1
0.00133054577952244,0,100,0.1
0.00173359569954161,0,-100,-0.1
0.00173359569954161,0,100,0.1
0.00118016896927367,0,-100,-0.1
0.00118016896927367,0,100,0.1
0.00166507599846651,0,-100,-0.1
0.00166507599846651,0,100,0.1
0.00129677046773159,0,-100,-0.1
0.00129677046773159,0,100,0.1
0.00172800040548124,0,-100,-0.1
0.00172800040548124,0,100,0.1
0.00158262696860874,0,-100,-0.1
0.00158262696860874,0,100,0.1
0.0014158341723457,0,-100,-0.1
0.0014158341723457,0,100,0.1
0.00173051216239198,0,-100,-0.1
0.00173051216239198,0,100,0.1
0.00131852957076242,0,-100,-0.1
0.00131852957076242,0,100,0.1
0.00136118580459141,0,-100,-0.1
0.00136118580459141,0,100,0.1
0.0012485774136059,0,-100,-0.1
0.0012485774136059,0,100,0.1
0.00120342540805229,0,-100,-0.1
0.00120342540805229,0,100,0.1
0.00128640168080012,0,-100,-0.1
0.00128640168080012,0,100,0.1
0.000576771469427161,0,-100,-0.1
0.000576771469427161,0,100,0.1
0.00241885394525316,0,-100,-0.1
0.00241885394525316,0,100,0.1
0.000939700223005625,0,-100,-0.1
0.000939700223005625,0,100,0.1
