"time","HEOG"
0.694,0.061274
0.696,0.07404
0.698,0.068933
0.7,0.063827
0.702,0.063827
0.704,0.063827
0.706,0.058721
0.708,0.063827
0.71,0.071487
0.712,0.063827
0.714,0.058721
0.716,0.06638
0.718,0.068933
0.72,0.063827
0.722,0.063827
0.724,0.068933
0.726,0.063827
0.728,0.058721
0.73,0.06638
0.732,0.068933
0.734,0.068933
0.736,0.068933
0.738,0.07404
0.74,0.068933
0.742,0.063827
0.744,0.068933
0.746,0.076593
0.748,0.063827
0.75,0.061274
0.752,0.068933
0.754,0.068933
0.756,0.06638
0.758,0.06638
0.76,0.06638
0.762,0.063827
0.764,0.056168
0.766,0.053615
0.768,0.063827
0.77,0.058721
0.772,0.053615
0.774,0.058721
0.776,0.063827
0.778,0.056168
0.78,0.058721
0.782,0.071487
0.784,0.06638
0.786,0.06638
0.788,0.068933
0.79,0.06638
0.792,0.061274
0.794,0.07404
0.796,0.06638
0.798,0.068933
0.8,0.06638
0.802,0.07404
0.804,0.06638
0.806,0.058721
0.808,0.07404
0.81,0.071487
0.812,0.058721
0.814,0.058721
0.816,0.07404
0.818,0.063827
0.82,0.058721
0.822,0.063827
0.824,0.06638
0.826,0.058721
0.828,0.058721
0.83,0.053615
0.832,0.048509
0.834,0.045956
0.836,0.051062
0.838,0.056168
0.84,0.043403
0.842,0.053615
0.844,0.058721
0.846,0.056168
0.848,0.051062
0.85,0.058721
0.852,0.068933
0.854,0.061274
0.856,0.063827
0.858,0.07404
0.86,0.063827
0.862,0.061274
0.864,0.06638
0.866,0.071487
0.868,0.063827
0.87,0.06638
0.872,0.068933
0.874,0.061274
0.876,0.056168
0.878,0.06638
0.88,0.061274
0.882,0.056168
0.884,0.061274
0.886,0.06638
0.888,0.058721
0.89,0.061274
0.892,0.063827
0.894,0.063827
0.896,0.063827
0.898,0.058721
0.9,0.063827
0.902,0.068933
0.904,0.058721
0.906,0.053615
0.908,0.056168
0.91,0.056168
0.912,0.048509
0.914,0.053615
0.916,0.058721
0.918,0.053615
0.92,0.053615
0.922,0.053615
0.924,0.053615
0.926,0.048509
0.928,0.063827
0.93,0.06638
0.932,0.051062
0.934,0.058721
0.936,0.06638
0.938,0.053615
0.94,0.056168
0.942,0.068933
0.944,0.06638
0.946,0.053615
0.948,0.06638
0.95,0.058721
0.952,0.056168
0.954,0.058721
0.956,0.063827
0.958,0.058721
0.96,0.058721
0.962,0.06638
0.964,0.061274
0.966,0.061274
0.968,0.06638
0.97,0.063827
0.972,0.058721
0.974,0.053615
0.976,0.06638
0.978,0.063827
0.98,0.053615
0.982,0.058721
0.984,0.058721
0.986,0.06638
0.988,0.061274
0.99,0.056168
0.992,0.061274
0.994,0.068933
0.996,0.06638
0.998,0.063827
1,0.068933
1.002,0.063827
1.004,0.061274
1.006,0.063827
1.008,0.071487
1.01,0.063827
1.012,0.06638
1.014,0.07404
1.016,0.068933
1.018,0.068933
1.02,0.071487
1.022,0.071487
1.024,0.063827
1.026,0.071487
1.028,0.079146
1.03,0.07404
1.032,0.07404
1.034,0.079146
1.036,0.07404
1.038,0.068933
1.04,0.07404
1.042,0.07404
1.044,0.06638
1.046,0.07404
1.048,0.079146
1.05,0.07404
1.052,0.063827
1.054,0.071487
1.056,0.076593
1.058,0.071487
1.06,0.06638
1.062,0.063827
1.064,0.068933
1.066,0.068933
1.068,0.06638
1.07,0.071487
1.072,0.076593
1.074,0.068933
1.076,0.063827
1.078,0.07404
1.08,0.07404
1.082,0.061274
1.084,0.061274
1.086,0.06638
1.088,0.07404
1.09,0.061274
1.092,0.06638
1.094,0.07404
1.096,0.06638
1.098,0.058721
1.1,0.063827
1.102,0.068933
1.104,0.07404
