"x","cooks_d"
1,0.00125703606275724
2,0.000314821039572385
3,0.00262350344198509
4,0.000518413166676641
5,0.00189800054115686
6,0.000369972200711147
7,0.000202991834209697
8,1.20686700423507e-06
9,0.000331551293609295
10,0.000246459118493477
11,0.000163105453037456
12,8.14686877163698e-05
13,0.00168094850046644
14,0.00134891533279812
15,3.28473075586111e-05
16,8.1864372371374e-05
17,0.000327061485019856
18,5.46258645622978e-07
19,0.000315397700005544
20,5.47516678578464e-06
21,0.00172729718454221
22,0.000522925307432064
23,8.76368674908003e-05
24,1.6929251364298e-05
25,0.00299173803721028
26,0.000409113304499727
27,0.000398159577635971
28,8.97643665965188e-05
29,0.00544844480891674
30,2.8779586294451e-08
31,0.00234584179040677
32,0.000940980200667083
33,0.00547900759642208
34,0.00394902039564133
35,0.00454896537672092
36,0.0130531185574426
37,0.000171510753752057
38,0.000300375458158573
39,0.000907000412170958
40,0.00131903911455038
41,0.00225553919866313
42,0.00021948435107517
43,0.000183650197540872
44,1.08077067931597e-05
45,0.000159671827329752
46,0.000399380446306391
47,0.000916981796375631
48,0.00357324430929297
49,0.0167316580795463
50,0.000123751260074452
51,0.00035991589830005
52,0.0015589994159361
53,0.000165368588435197
54,2.53733103313606e-05
55,0.000745771668893151
56,0.00288922262908888
57,0.000749925453242758
58,0.0101649252030335
59,0.0032003669957174
60,0.00212325112457239
61,0.000850640536368962
62,0.0257747979989346
63,4.98622445387312e-05
64,0.00267595391791627
65,3.56755639734445e-05
66,0.000166055087344538
67,6.71279985982776e-06
68,0.000989503933429575
69,0.00161639029477534
70,0.00127043010310279
71,0.00204566667229235
72,0.000905111047815287
73,0.00392949567982795
74,0.00191644445400232
75,0.00268465705623366
76,2.72565482476944e-05
77,0.000275054518277964
78,0.000329795691471137
79,0.00261527216277024
80,0.000441696052298801
81,0.00252110469781153
82,0.0055746835153407
83,0.00302621524344923
84,0.00155002700332436
85,4.31718558182363e-05
86,3.28526935744018e-05
87,0.00299884517962765
88,0.000827522326577575
89,0.0239228110358515
90,6.60938566616233e-05
91,0.00382176267884643
92,5.0442146302566e-05
93,0.00141359560569007
94,0.000902301093441918
95,2.19704842264413e-05
96,0.00516350783080553
97,0.00230623511607172
98,0.00594448037773334
99,0.00358574153325411
100,2.01421156236446e-05
101,0.0360216385280186
102,0.00865096322326741
103,0.00258955609963922
104,0.00894944398827814
105,0.000276219221965762
106,0.00177103863432128
107,0.00568875836504841
108,0.00388682742817418
109,0.000184461632430471
110,0.00407441835202396
111,0.00455461567532761
112,3.74453045503966e-05
113,0.00127375629730866
114,0.000643866418813881
115,0.0053324406737084
116,0.000112838268057017
117,0.000822569632476611
118,0.000608575384802242
119,0.00811569356105817
120,0.00079689692726984
121,0.00223942975722146
122,0.00780102535010426
123,0.000201777182487644
124,0.00110057876573197
125,0.00916792711572914
126,0.000252239700063598
127,2.44416063054767e-05
128,0.000373758494596971
129,0.00283398518112985
130,0.000352926242748459
131,0.00106979524404337
132,0.00171208589429643
133,0.00233320103322408
134,6.89169364620941e-06
135,0.0108538615133353
136,0.0125159076127649
137,2.41399175954517e-05
138,0.00161499322737815
139,1.05354584236888e-06
140,0.000633633603331148
141,0.00224423287586602
142,0.000385644237593069
143,0.000333984008669265
144,0.000466441289677002
145,1.39268667982315e-05
146,0.000574915583559039
147,0.000955888427993849
148,0.000578259833200394
149,0.000172480595504858
150,0.000226523606026142
151,0.00106685329122057
152,1.33308157564768e-08
153,0.00251040355368586
154,0.00105461171383884
155,4.01836872645232e-05
156,0.00042809377622058
157,0.00202028339148492
158,0.00670424784347964
159,0.000559393374756843
160,0.00068170960968894
161,0.000415846984232359
162,0.000635429722830046
163,4.34287649226331e-05
164,0.000181891670795733
165,0.000525419990630469
166,0.000512102413910588
167,0.000303227036051859
168,0.000949857871279806
169,0.00211185881012584
170,9.80365903694299e-05
171,0.000592369176589809
172,0.000344963065060778
173,0.000145099306961027
174,5.04620968673676e-06
175,0.000140516877780961
176,0.000393565467345656
177,0.0034204254094539
178,5.23741857651889e-07
179,6.94185065509158e-07
180,0.000249430121577937
181,9.88432352188634e-05
182,7.67104188011036e-05
183,0.000123848172459612
184,0.000329508506684781
185,0.00679178404363445
186,7.6450859584629e-05
187,0.00232692492231545
188,7.21446940256655e-06
189,0.00399216045976983
190,0.000366004971616189
191,0.00252433718314951
192,0.000598960441400689
193,0.00462309224191107
194,0.000102180314773769
195,0.000673321101023705
196,0.00233206776799271
197,2.35500791993744e-05
198,0.000900220645428348
199,0.00172358627274322
200,0.00340686303027539
201,4.2070688909458e-05
202,0.000996453384200481
203,0.00192583285557101
204,6.40200412670601e-05
205,9.92912650929541e-05
206,0.00241167661428396
207,0.00112523243256346
208,7.14550434659192e-05
209,8.23412862457771e-05
210,0.000611573741208519
211,0.0010497219208685
212,0.000276282781696353
213,0.00114501845792485
214,0.00111952912731363
215,0.000756555486494806
216,0.000197438213256137
217,0.00499917185496505
218,0.00266670112485193
219,0.00219060910710021
220,0.0029223502393128
221,4.66892261324474e-07
222,0.00333383429879998
223,2.22138792833225e-05
224,8.95384167984821e-07
225,0.00177752726080956
